venue,teamplaying,groundavgscore,teamavgscore,matchscore
Maharashtra Cricket Association Stadium,Rising Pune Supergiants,170,139,160
"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,176,173,189
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,118
Feroz Shah Kotla,Gujarat Lions,166,149,172
Wankhede Stadium,Kolkata Knight Riders,166,159,174
Maharashtra Cricket Association Stadium,Rising Pune Supergiants,170,139,195
Feroz Shah Kotla,Delhi Daredevils,166,140,186
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,194
Saurashtra Cricket Association Stadium,Kings XI Punjab,154,171,154
Maharashtra Cricket Association Stadium,Rising Pune Supergiants,170,139,159
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,185
Saurashtra Cricket Association Stadium,Gujarat Lions,154,149,149
Eden Gardens,Kolkata Knight Riders,164,159,164
Feroz Shah Kotla,Delhi Daredevils,166,140,162
"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,144,149,126
M Chinnaswamy Stadium,Rising Pune Supergiants,184,139,191
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,181
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,159,153,177
Eden Gardens,Kolkata Knight Riders,164,159,158
"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,176,208,175
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,159,153,137
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,151
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,146
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,159,173,124
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,248
Eden Gardens,Rising Pune Supergiants,164,139,103
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,179
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,159,173,206
Eden Gardens,Kolkata Knight Riders,164,159,183
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,159,140,121
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,211
Green Park,Kolkata Knight Riders,148,159,124
Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,140,153,158
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,159,171,172
Green Park,Mumbai Indians,148,173,172
Eden Gardens,Kolkata Knight Riders,164,159,171
Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,140,140,138
M Chinnaswamy Stadium,Gujarat Lions,184,149,158
